"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"Salvador Sanchez Lopez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",3,"Círculo De Jiu-Jitsu"
"Samantha B. Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLACK 
","

 Heavy
",1,"R1NG BJJ"
"Samantha B. Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLACK 
","

 Open Class
",1,"R1NG BJJ"
"Samantha Lyn Schell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BROWN 
","

 Light Feather
",3,"Rubao Carioca"
"Samantha Megan Hattlestad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLUE 
","

 Light
",3,"Gracie Barra"
"Samantha Megan Hattlestad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLUE 
","

 Open Class
",1,"Gracie Barra"
"Samantha Renee Dean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BROWN 
","

 Super Heavy
",3,"Sabre Jiu-Jitsu Academy"
"Sami Muhi Eddin Mohammad Al Jamal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Feather
",2,"Samy Al Jamal - FIT Jiu-Jitsu"
"Samira E. B. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 PURPLE 
","

 Heavy
",1,"JJ4L"
"Samuel Alejandr Franchi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Light Feather
",1,"Atos Jiu-Jitsu"
"Samuel Cash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 PURPLE 
","

 Heavy
",2,"Vicente Jr. Team"
"Samuel Hertzog Canquerino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Light
",3,"SHC BJJ Team"
"Samuel Jacob Hon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 PURPLE 
","

 Light
",3,"Sergio Penha Brazilian Jiu-Jitsu"
"Sandro Gabriel Vieira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Middle
",3,"CheckMat"
"Sanford Baird Bailey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Super Heavy
",3,"Crazy 88"
"Sanford Baird Bailey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Open Class
",1,"Crazy 88"
"Santiago Pereyra Furlong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Light Feather
",3,"Lotus Club USA"
"Sara Ashley Kanag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Middle
",3,"Six Blades Jiu-Jitsu"
"Sarah Aguilar Gilligan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 PURPLE 
","

 Super Heavy
",3,"Fairfax Jiu Jitsu"
"Sarah Gail Rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLACK 
","

 Heavy
",1,"Cary Brazilian Jiu-Jitsu"
"Sarah Gail Rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLACK 
","

 Open Class
",3,"Cary Brazilian Jiu-Jitsu"
"Sarah J. Choleva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Light
",3,"GF Team"
"Scott Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Heavy
",1,"SAS Team "
"Scott Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Open Class
",1,"SAS Team "
"Scott Duwayne Huston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Heavy
",1,"Brasa CTA"
"Scott H. Giller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Super Heavy
",1,"McVicker's Brazilian Jiu Jitsu"
"Scott Jacob Johannsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",3,"Street Sports BJJ"
"Scott M. Lowder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Feather
",1,"R1NG BJJ"
"Scott R. Roffers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Heavy
",1,"Brasa CTA"
"Scott Richard Haile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Middle
",2,"Unified Jiu Jitsu"
"Sean P. Burke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Light
",3,"American Top Team"
"Seija Maria Niemela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Light
",3,"CheckMat"
"Seija Maria Niemela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Open Class
",2,"CheckMat"
"Selma Cristina Bernardes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Light
",2,"Cei Jiu-Jitsu International "
"Serena Gabrielli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLACK 
","

 Rooster
",3,"Flow"
"Sergio Alexandre Lourenço Capella Junior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Light Feather
",2,"Nova União"
"Sérgio Ávila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Heavy
",1,"CheckMat"
"Sergio Raimundo Rios da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",1,"Brasa "
"Sergio Raimundo Rios da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Open Class
",3,"Brasa "
"Sergio Torruellas Jr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLUE 
","

 Ultra Heavy
",1,"GF Team"
"Sewar  Abunuwar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 PURPLE 
","

 Super Heavy
",2,"GF Team"
"Shane Charles Bridges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLUE 
","

 Heavy
",2,"One Jiu-Jitsu USA"
"Shane Sweeney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",2,"Pedigo Submission Fighting"
"Shane Sweeney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLUE 
","

 Open Class
",3,"Pedigo Submission Fighting"
"Shane William Hall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLUE 
","

 Super Heavy
",1,"Carlson Gracie Team"
"Shannon P OGrady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BROWN 
","

 Light
",3,"Combat Arts Strength and Conditioning"
"Shannon Thomas Fagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Ultra Heavy
",3,"Team Royce Gracie"
"Shannon Thomas Fagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Open Class
",1,"Team Royce Gracie"
"Sharlene M. Cairns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BROWN 
","

 Heavy
",2,"Carlson Gracie Team"
"Shaun Donald Holmstrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",3,"Zenith BJJ"
"Shawn  Suga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Rooster
",1,"Chris Atkins Jiu-Jitsu"
"Shawn Ryan Gantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Middle
",1,"Rodrigo Pinheiro BJJ"
"Shayne K Hoopii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Light
",3,"Sumner Grpl Club"
"Shelly Kay Jenkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Medium Heavy
",3,"Brazilian Top Team"
"Shelly Lynn Fisher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 PURPLE 
","

 Medium Heavy
",1,"Gracie Morumbi "
"Shelly Lynn Fisher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 PURPLE 
","

 Open Class
",1,"Gracie Morumbi "
"Sheri Robin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Female 
","

 BLUE 
","

 Heavy
",2,"Gracie Barra"
"Sheri Robin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Female 
","

 BLUE 
","

 Open Class
",3,"Gracie Barra"
"Sheyna-Marie K Chang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Medium Heavy
",3,"Cascao Jiu-Jitsu"
"Shih-Chin  Hsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Rooster
",1,"Baret Submissions USA"
"Shino Katsumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLUE 
","

 Feather
",1,"Gregor Gracie Jiu-Jitsu"
"Shouichi Kubo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BROWN 
","

 Feather
",2,"Impacto BJJ"
"Shuhei Akeo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 PURPLE 
","

 Rooster
",2,"Carpe Diem"
"Siah Hwee Ing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 PURPLE 
","

 Middle
",3,"Evolve MMA"
"Silvio Duran de Barros Saraiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Feather
",2,"Nova União"
"Simon Paul Childs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Heavy
",1,"Alliance "
"Simone de Abreu Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 PURPLE 
","

 Heavy
",1,"CheckMat"
"Simone de Abreu Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 PURPLE 
","

 Open Class
",1,"CheckMat"
"Sofia Rosa Amarante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLACK 
","

 Light Feather
",1,"JJ4L"
"Solange das Neves Russi de Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 BLACK 
","

 Light
",2,"CheckMat"
"Sonia Victoria Lastreto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 PURPLE 
","

 Light Feather
",3,"Six Blades Jiu-Jitsu"
"Sonya M. B. Plavcan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLACK 
","

 Light
",1,"Alliance "
"Sonya M. B. Plavcan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLACK 
","

 Open Class
",1,"Alliance "
"Sophia Insun Cho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Feather
",3,"Ralph Gracie"
"Soren Tyge Joy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",2,"Maui Jiu-Jitsu"
"Souleymane  Dicko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Middle
",1,"Mako Team Paris"
"Stacey Ann Councilman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BROWN 
","

 Super Heavy
",1,"Cassio Werneck BJJ"
"Stefanie Teresa Wallace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLACK 
","

 Feather
",1,"CheckMat"
"Stephanie Anne Bryant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLUE 
","

 Middle
",2,"Renzo Gracie LA"
"Stephanie J Sustercich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BROWN 
","

 Open Class
",3,"Black Arrow"
"Stephanie Leigh Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLUE 
","

 Rooster
",1,"Park West BJJ"
"Stephanie Souza Penido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BROWN 
","

 Rooster
",3,"Gracie Barra"
"Stephen George Dalkert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Feather
",2,"Proving Grounds Jiu-Jitsu"
"Stephen George Dalkert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Open Class
",3,"Proving Grounds Jiu-Jitsu"
"Stephen Vincent Hall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",2,"Octagon MMA"
"Steve Vien N Nguyen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Light Feather
",3,"Pablo Silva BJJ"
"Steve William Aguirre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BROWN 
","

 Feather
",1,"Ares BJJ"
"Steven Curtis Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Light
",3,"Cassio Werneck BJJ"
"Steven Curtis Shearon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Middle
",2,"Six Blades Jiu-Jitsu"
"Steven Frank Tarrago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Light
",1,"Mario Sperry Jiu-Jitsu"
"Steven James Patrick Lucero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 PURPLE 
","

 Light
",3,"Prime Jiu-Jitsu Center"
"Steven Michael Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BROWN 
","

 Super Heavy
",3,"CheckMat"
"Steven Raul Tarango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Ultra Heavy
",2,"Brea Jiu-Jitsu"
"Stewart Ronald Bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BROWN 
","

 Middle
",2,"Luis Rubalcava"
"Stuart Nobu Fujioka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Light Feather
",1,"Nova União"
"Stuart Nobu Fujioka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Open Class
",3,"Nova União"
"Sue Ellen Ausman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 BLACK 
","

 Light Feather
",1,"Travis Lutter Brazilian Jiu-Jitsu"
"Suleyman Samet Göktopal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 PURPLE 
","

 Light
",1,"GMAC"
"Supak Chenhansa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Light Feather
",3,"AEG"
"Susan Ellen Burger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Female 
","

 PURPLE 
","

 Light
",2,"Nova União"
"Susan Ellen Burger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Female 
","

 PURPLE 
","

 Open Class
",2,"Nova União"
"Suyan Lopes Queiroz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Light
",2,"Carlson Gracie Team"
"Suzan Quynh Pham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Medium Heavy
",2,"Aspire To Inspire"
"Suzanne E Grubb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Middle
",3,"Team Link"
"Talita Andrea Nogueira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLACK 
","

 Super Heavy
",2,"Vilanova Brazilian Jiu-Jitsu"
"Taliya R. Hooks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 PURPLE 
","

 Heavy
",3,"GF Team"
"Tamalyn Megumi Fisher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLACK 
","

 Feather
",3,"CheckMat"
"Tamara Maria Wolfe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Medium Heavy
",1,"Gracie Barra"
"Tamara Maria Wolfe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Open Class
",1,"Gracie Barra"
"Tammi Ngoc Chu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Heavy
",3,"One Jiu-Jitsu USA"
"Tammy Lorraine T Emmsley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Super Heavy
",3,"Nova União"
"Tara Giovanna White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLACK 
","

 Medium Heavy
",3,"CheckMat"
"Tara Hansler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLUE 
","

 Middle
",3,"Renzo Gracie Houston"
"Ted Priebe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Feather
",2,"Alexandre Novaes Jiu-Jitsu Academy "
"Ted Shigeo Kaneda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Light Feather
",3,"Mano Jiu-Jitsu"
"Terrance Cordell Souser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",3,"CheckMat"
"Terrance Eugene Teague",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLUE 
","

 Light Feather
",3,"Ares BJJ"
"Terry Slutsky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Heavy
",2,"Gracie Barra"
"Tessa Jane Burrows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 PURPLE 
","

 Light Feather
",2,"Jiu-Jitsu For Life Team"
"Thad Earl Grace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BROWN 
","

 Light
",3,"Combat Base"
"Thaís Gomes Teixeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLACK 
","

 Feather
",3,"Carlson Gracie Team"
"Thaís Gomes Teixeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLACK 
","

 Open Class
",3,"Carlson Gracie Team"
"Thandi I. Turner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Feather
",3,"SBG International (SBGI)"
"Theodore Allen Linn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Super Heavy
",2,"Ares BJJ"
"Theresa Josie Cano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Middle
",3,"UFC Gym"
"Thiago Reinaldo de Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",2,"Gracie Barra"
"Thiago Rodrigues Lemos ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Middle
",3,"CheckMat"
"Thomas A Smith III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 PURPLE 
","

 Super Heavy
",3,"Wolfpack BJJ"
"Thomas A Smith III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 PURPLE 
","

 Open Class
",3,"Wolfpack BJJ"
"Thomas Anthony McMahon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",3,"Alliance "
